plain_english_result,chain,chain_id,chunk,contract,chain_mint_number,chunk_mint_number,airdrop_type,asset_category,asset_category_id,asset_product_name,asset_upc,v4_asset_token_id,v6_asset_token_id,recipient_address,asset_source_owner_from_raw,worn_by_banny_v4_token_id,worn_by_banny_v6_token_id,worn_by_banny_product_name,outfitted_banny_recipient_address,notes
"0x2aa64E6d80390F5C017F0313cB908051BE2FD35e receives an Orange Banny on Work Station background wearing Flops, Jonny Utah Shirt, Natty Dred, and Lightsaber.",Arbitrum,42161,1,AirdropV4BannysArbitrum1,1,1,outfitted_banny_body,Banny body,0,Orange,3,3000000001,3000000001,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,3000000001,3000000001,Orange,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,Body transferred after dressing.
0x7C3F14075F6477fea1aF6cf59f325afDfcD3Ddf7 receives an Orange Banny with no outfit.,Arbitrum,42161,1,AirdropV4BannysArbitrum1,2,2,banny_body,Banny body,0,Orange,3,3000000002,3000000002,0x7C3F14075F6477fea1aF6cf59f325afDfcD3Ddf7,0x7C3F14075F6477fea1aF6cf59f325afDfcD3Ddf7,3000000002,3000000002,Orange,0x7C3F14075F6477fea1aF6cf59f325afDfcD3Ddf7,Body transferred naked.
0x1C51517d8277C9aD6d701Fb5394ceC0C18219eDb receives an Original Banny with no outfit.,Arbitrum,42161,1,AirdropV4BannysArbitrum1,3,3,banny_body,Banny body,0,Original,4,4000000001,4000000001,0x1C51517d8277C9aD6d701Fb5394ceC0C18219eDb,0x1C51517d8277C9aD6d701Fb5394ceC0C18219eDb,4000000001,4000000001,Original,0x1C51517d8277C9aD6d701Fb5394ceC0C18219eDb,Body transferred naked.
0xfD282d9f4d06C4BDc6a41af1Ae920A0AD70D18a3 receives an Original Banny with no outfit.,Arbitrum,42161,1,AirdropV4BannysArbitrum1,4,4,banny_body,Banny body,0,Original,4,4000000002,4000000002,0xfD282d9f4d06C4BDc6a41af1Ae920A0AD70D18a3,0xfD282d9f4d06C4BDc6a41af1Ae920A0AD70D18a3,4000000002,4000000002,Original,0xfD282d9f4d06C4BDc6a41af1Ae920A0AD70D18a3,Body transferred naked.
"0x2aa64E6d80390F5C017F0313cB908051BE2FD35e receives an Orange Banny on Work Station background wearing Flops, Jonny Utah Shirt, Natty Dred, and Lightsaber.",Arbitrum,42161,1,AirdropV4BannysArbitrum1,5,5,worn_background,Background,1,Work Station,5,5000000001,5000000001,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,Background is worn by the Banny; the outfitted Banny is transferred to recipient.
"0x2aa64E6d80390F5C017F0313cB908051BE2FD35e receives an Orange Banny on Work Station background wearing Flops, Jonny Utah Shirt, Natty Dred, and Lightsaber.",Arbitrum,42161,1,AirdropV4BannysArbitrum1,6,6,worn_outfit,Legs,7,Flops,19,19000000001,19000000001,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
"0x2aa64E6d80390F5C017F0313cB908051BE2FD35e receives an Orange Banny on Work Station background wearing Flops, Jonny Utah Shirt, Natty Dred, and Lightsaber.",Arbitrum,42161,1,AirdropV4BannysArbitrum1,7,7,worn_outfit,Suit top,10,Jonny Utah Shirt,25,25000000001,25000000001,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
"0x2aa64E6d80390F5C017F0313cB908051BE2FD35e receives an Orange Banny on Work Station background wearing Flops, Jonny Utah Shirt, Natty Dred, and Lightsaber.",Arbitrum,42161,1,AirdropV4BannysArbitrum1,8,8,worn_outfit,Head top,11,Natty Dred,38,38000000001,38000000001,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
"0x2aa64E6d80390F5C017F0313cB908051BE2FD35e receives an Orange Banny on Work Station background wearing Flops, Jonny Utah Shirt, Natty Dred, and Lightsaber.",Arbitrum,42161,1,AirdropV4BannysArbitrum1,9,9,worn_outfit,Fist,12,Lightsaber,47,47000000001,47000000001,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
"0x08B3e694caA2F1fcF8eF71095CED1326f3454B89 receives an Original Banny on Hay Field background wearing Nerd Glasses, Flops, and Irie Shirt.",Arbitrum,42161,2,AirdropV4BannysArbitrum2,10,1,outfitted_banny_body,Banny body,0,Original,4,4000000003,4000000003,0x08B3e694caA2F1fcF8eF71095CED1326f3454B89,0x08B3e694caA2F1fcF8eF71095CED1326f3454B89,4000000003,4000000003,Original,0x08B3e694caA2F1fcF8eF71095CED1326f3454B89,Body transferred after dressing.
