plain_english_result,chain,chain_id,chunk,contract,chain_mint_number,chunk_mint_number,airdrop_type,asset_category,asset_category_id,asset_product_name,asset_upc,v4_asset_token_id,v6_asset_token_id,recipient_address,asset_source_owner_from_raw,worn_by_banny_v4_token_id,worn_by_banny_v6_token_id,worn_by_banny_product_name,outfitted_banny_recipient_address,notes
0xf7253A0E87E39d2cD6365919D4a3D56D431D0041 receives a Pink Banny wearing Irie Shirt and Headphones.,Base,8453,1,AirdropV4BannysBase1,1,1,outfitted_banny_body,Banny body,0,Pink,2,2000000001,2000000001,0xf7253A0E87E39d2cD6365919D4a3D56D431D0041,0xf7253A0E87E39d2cD6365919D4a3D56D431D0041,2000000001,2000000001,Pink,0xf7253A0E87E39d2cD6365919D4a3D56D431D0041,Body transferred after dressing.
0x565B93a15d38aCD79c120b15432D21E21eD274d6 receives a Pink Banny on Hay Field background wearing Investor Shades and Ice Cube.,Base,8453,1,AirdropV4BannysBase1,2,2,outfitted_banny_body,Banny body,0,Pink,2,2000000002,2000000002,0x565B93a15d38aCD79c120b15432D21E21eD274d6,0x565B93a15d38aCD79c120b15432D21E21eD274d6,2000000002,2000000002,Pink,0x565B93a15d38aCD79c120b15432D21E21eD274d6,Body transferred after dressing.
"0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F receives a Pink Banny on Hay Field background wearing Jonny Utah Shirt, Headphones, and DJ Deck.",Base,8453,1,AirdropV4BannysBase1,3,3,outfitted_banny_body,Banny body,0,Pink,2,2000000003,2000000003,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,2000000003,2000000003,Pink,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,Body transferred after dressing.
0x25171bD3cD3231c3057c96F38E32E3bA6681497a receives an Orange Banny wearing Jonny Utah Shirt and Lightsaber.,Base,8453,1,AirdropV4BannysBase1,4,4,outfitted_banny_body,Banny body,0,Orange,3,3000000001,3000000001,0x25171bD3cD3231c3057c96F38E32E3bA6681497a,0x25171bD3cD3231c3057c96F38E32E3bA6681497a,3000000001,3000000001,Orange,0x25171bD3cD3231c3057c96F38E32E3bA6681497a,Body transferred after dressing.
0x4718ce007293bCe1E514887E6F55ea71d9A992d6 receives an Orange Banny wearing Zucco Tshirt.,Base,8453,1,AirdropV4BannysBase1,5,5,outfitted_banny_body,Banny body,0,Orange,3,3000000002,3000000002,0x4718ce007293bCe1E514887E6F55ea71d9A992d6,0x4718ce007293bCe1E514887E6F55ea71d9A992d6,3000000002,3000000002,Orange,0x4718ce007293bCe1E514887E6F55ea71d9A992d6,Body transferred after dressing.
"0x96D087aba8552A0e111D7fB4Feb2e7621213E244 receives an Orange Banny wearing Astronaut Head, Flops, Irie Shirt, and Lightsaber.",Base,8453,1,AirdropV4BannysBase1,6,6,outfitted_banny_body,Banny body,0,Orange,3,3000000003,3000000003,0x96D087aba8552A0e111D7fB4Feb2e7621213E244,0x96D087aba8552A0e111D7fB4Feb2e7621213E244,3000000003,3000000003,Orange,0x96D087aba8552A0e111D7fB4Feb2e7621213E244,Body transferred after dressing.
0x2830e21792019CE670fBc548AacB004b08c7f71f receives an Orange Banny with no outfit.,Base,8453,1,AirdropV4BannysBase1,7,7,banny_body,Banny body,0,Orange,3,3000000004,3000000004,0x2830e21792019CE670fBc548AacB004b08c7f71f,0x2830e21792019CE670fBc548AacB004b08c7f71f,3000000004,3000000004,Orange,0x2830e21792019CE670fBc548AacB004b08c7f71f,Body transferred naked.
0x328809A567b87b6123462c3062e8438BBB75c1c5 receives an Orange Banny with no outfit.,Base,8453,1,AirdropV4BannysBase1,8,8,banny_body,Banny body,0,Orange,3,3000000005,3000000005,0x328809A567b87b6123462c3062e8438BBB75c1c5,0x328809A567b87b6123462c3062e8438BBB75c1c5,3000000005,3000000005,Orange,0x328809A567b87b6123462c3062e8438BBB75c1c5,Body transferred naked.
"0xAAeD9fFF9858d48925904E391B77892BA5Fda824 receives an Orange Banny on Hay Field background wearing Investor Shades, Flops, and Irie Shirt.",Base,8453,1,AirdropV4BannysBase1,9,9,outfitted_banny_body,Banny body,0,Orange,3,3000000006,3000000006,0xAAeD9fFF9858d48925904E391B77892BA5Fda824,0xAAeD9fFF9858d48925904E391B77892BA5Fda824,3000000006,3000000006,Orange,0xAAeD9fFF9858d48925904E391B77892BA5Fda824,Body transferred after dressing.
"0xDf087B724174A3E4eD2338C0798193932E851F1b receives an Orange Banny wearing Flops, Irie Shirt, and Constitution.",Base,8453,1,AirdropV4BannysBase1,10,10,outfitted_banny_body,Banny body,0,Orange,3,3000000007,3000000007,0xDf087B724174A3E4eD2338C0798193932E851F1b,0xDf087B724174A3E4eD2338C0798193932E851F1b,3000000007,3000000007,Orange,0xDf087B724174A3E4eD2338C0798193932E851F1b,Body transferred after dressing.
0x28C173B8F20488eEF1b0f48Df8453A2f59C38337 receives an Orange Banny wearing Proff Glasses and Proff Hair.,Base,8453,1,AirdropV4BannysBase1,11,11,outfitted_banny_body,Banny body,0,Orange,3,3000000008,3000000008,0x28C173B8F20488eEF1b0f48Df8453A2f59C38337,0x28C173B8F20488eEF1b0f48Df8453A2f59C38337,3000000008,3000000008,Orange,0x28C173B8F20488eEF1b0f48Df8453A2f59C38337,Body transferred after dressing.
0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F receives an Orange Banny with no outfit.,Base,8453,1,AirdropV4BannysBase1,12,12,banny_body,Banny body,0,Orange,3,3000000009,3000000009,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,3000000009,3000000009,Orange,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,Body transferred naked.
