plain_english_result,chain,chain_id,chunk,contract,chain_mint_number,chunk_mint_number,airdrop_type,asset_category,asset_category_id,asset_product_name,asset_upc,v4_asset_token_id,v6_asset_token_id,recipient_address,asset_source_owner_from_raw,worn_by_banny_v4_token_id,worn_by_banny_v6_token_id,worn_by_banny_product_name,outfitted_banny_recipient_address,notes
"0x25910143C255828F623786f46fe9A8941B7983bB receives an Orange Banny wearing Nerd Glasses, Flops, Jonny Utah Shirt, and Constitution.",Optimism,10,1,AirdropV4BannysOptimism,1,1,outfitted_banny_body,Banny body,0,Orange,3,3000000001,3000000001,0x25910143C255828F623786f46fe9A8941B7983bB,0x25910143C255828F623786f46fe9A8941B7983bB,3000000001,3000000001,Orange,0x25910143C255828F623786f46fe9A8941B7983bB,Body transferred after dressing.
0x292ff025168D2B51f0Ef49f164D281c36761BA2b receives an Orange Banny with no outfit.,Optimism,10,1,AirdropV4BannysOptimism,2,2,banny_body,Banny body,0,Orange,3,3000000002,3000000002,0x292ff025168D2B51f0Ef49f164D281c36761BA2b,0x292ff025168D2B51f0Ef49f164D281c36761BA2b,3000000002,3000000002,Orange,0x292ff025168D2B51f0Ef49f164D281c36761BA2b,Body transferred naked.
0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5 receives an Original Banny wearing Lightsaber.,Optimism,10,1,AirdropV4BannysOptimism,3,3,outfitted_banny_body,Banny body,0,Original,4,4000000001,4000000001,0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,4000000001,4000000001,Original,0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,Body transferred after dressing.
0x57700212B1cB7b67bD7DF3801DA43CA634513fE0 receives an Original Banny with no outfit.,Optimism,10,1,AirdropV4BannysOptimism,4,4,banny_body,Banny body,0,Original,4,4000000002,4000000002,0x57700212B1cB7b67bD7DF3801DA43CA634513fE0,0x57700212B1cB7b67bD7DF3801DA43CA634513fE0,4000000002,4000000002,Original,0x57700212B1cB7b67bD7DF3801DA43CA634513fE0,Body transferred naked.
0x292ff025168D2B51f0Ef49f164D281c36761BA2b receives an Original Banny with no outfit.,Optimism,10,1,AirdropV4BannysOptimism,5,5,banny_body,Banny body,0,Original,4,4000000003,4000000003,0x292ff025168D2B51f0Ef49f164D281c36761BA2b,0x292ff025168D2B51f0Ef49f164D281c36761BA2b,4000000003,4000000003,Original,0x292ff025168D2B51f0Ef49f164D281c36761BA2b,Body transferred naked.
"0x25910143C255828F623786f46fe9A8941B7983bB receives an Orange Banny wearing Nerd Glasses, Flops, Jonny Utah Shirt, and Constitution.",Optimism,10,1,AirdropV4BannysOptimism,6,6,worn_outfit,Glasses,5,Nerd Glasses,11,11000000001,11000000001,0x25910143C255828F623786f46fe9A8941B7983bB,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x25910143C255828F623786f46fe9A8941B7983bB,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
0xA2Fa6144168751D116336B58C5288feaF8bb12C1 receives a Dorthy Shoes Legs asset.,Optimism,10,1,AirdropV4BannysOptimism,7,7,non_worn_transfer,Legs,7,Dorthy Shoes,17,17000000001,17000000001,0xA2Fa6144168751D116336B58C5288feaF8bb12C1,0xA2Fa6144168751D116336B58C5288feaF8bb12C1,,,,,Asset is not worn by a Banny and is transferred directly.
"0x25910143C255828F623786f46fe9A8941B7983bB receives an Orange Banny wearing Nerd Glasses, Flops, Jonny Utah Shirt, and Constitution.",Optimism,10,1,AirdropV4BannysOptimism,8,8,worn_outfit,Legs,7,Flops,19,19000000001,19000000001,0x25910143C255828F623786f46fe9A8941B7983bB,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x25910143C255828F623786f46fe9A8941B7983bB,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
"0x25910143C255828F623786f46fe9A8941B7983bB receives an Orange Banny wearing Nerd Glasses, Flops, Jonny Utah Shirt, and Constitution.",Optimism,10,1,AirdropV4BannysOptimism,9,9,worn_outfit,Suit top,10,Jonny Utah Shirt,25,25000000001,25000000001,0x25910143C255828F623786f46fe9A8941B7983bB,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x25910143C255828F623786f46fe9A8941B7983bB,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
"0x25910143C255828F623786f46fe9A8941B7983bB receives an Orange Banny wearing Nerd Glasses, Flops, Jonny Utah Shirt, and Constitution.",Optimism,10,1,AirdropV4BannysOptimism,10,10,worn_outfit,Fist,12,Constitution,44,44000000001,44000000001,0x25910143C255828F623786f46fe9A8941B7983bB,0xa5F8911d4CFd60a6697479f078409434424fe666,3000000001,3000000001,Orange,0x25910143C255828F623786f46fe9A8941B7983bB,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5 receives an Original Banny wearing Lightsaber.,Optimism,10,1,AirdropV4BannysOptimism,11,11,worn_outfit,Fist,12,Lightsaber,47,47000000001,47000000001,0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,0xa5F8911d4CFd60a6697479f078409434424fe666,4000000001,4000000001,Original,0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,Outfit is worn by the Banny; the outfitted Banny is transferred to recipient.
