chain,chain_id,recipient_address,recipient_kind,can_receive_erc721,contract_label,safe_version,body_receipts,direct_asset_receipts,total_receipts,example_assets,on_erc721_received_result
Ethereum,1,0x0447AD1BdC0fFA06f7029c8E63F4De21E65255d2,EOA/no-code,n/a,,,1,3,4,Original body V4 4000000008; V4 19000000001; V4 28000000003; V4 47000000002,
Ethereum,1,0x08cEb8Bba685ee708C9c4c65576837cbE19B9dea,EOA/no-code,n/a,,,1,1,2,Original body V4 4000000020; V4 31000000005,
Ethereum,1,0x08cF1208e638a5A3623be58d600e35c6199baa9C,EOA/no-code,n/a,,,2,5,7,Orange body V4 3000000017; Original body V4 4000000038; V4 19000000010; V4 28000000006; V4 31000000008; V4 47000000004,
Ethereum,1,0x0b2c9E0ee3057f4B9b0c2e42894a3D5A9B32b5Af,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000010,
Ethereum,1,0x0Cb1D93daEc77Df2ED7Db31C040Fd2174452bD9F,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000011,
Ethereum,1,0x126eeFa566ABF5aC3EfDAeF52d79E962CFFdB448,EOA/no-code,n/a,,,2,0,2,Orange body V4 3000000004; Original body V4 4000000018,
Ethereum,1,0x15b61e9b0637f45dc0858f083cd240267924125d,EOA/no-code,n/a,,,1,5,6,Pink body V4 2000000003; V4 6000000007; V4 14000000004; V4 20000000004; V4 35000000008; V4 48000000004,
Ethereum,1,0x1786D033D5CbCC235B673e872c7613c2F83DA583,contract,true,ERC721 receiver-capable contract,,1,1,2,Orange body V4 3000000007; V4 43000000004,0x150b7a0200000000000000000000000000000000000000000000000000000000
Ethereum,1,0x1Ae766cc5947e1E4C3538EE1F3f47063D2B40E79,EOA/no-code,n/a,,,1,6,7,Orange body V4 3000000018; V4 5000000003; V4 6000000006; V4 11000000001; V4 29000000001; V4 37000000002,
Ethereum,1,0x1C51517d8277C9aD6d701Fb5394ceC0C18219eDb,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000006,
Ethereum,1,0x1c6d61F3d8976A8aCDd311ecdFa533B8ECd0AC61,EOA/no-code,n/a,,,1,3,4,Original body V4 4000000084; V4 26000000007; V4 40000000003; V4 41000000005,
Ethereum,1,0x21a8f5A6bF893D43d3964dDaf4E04766BBBE9b07,EOA/no-code,n/a,,,1,2,3,Original body V4 4000000002; V4 28000000001; V4 43000000001,
Ethereum,1,0x25171bD3cD3231c3057c96F38E32E3bA6681497a,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000013,
Ethereum,1,0x289715fFBB2f4b482e2917D2f183FeAb564ec84F,EOA/no-code,n/a,,,1,1,2,Orange body V4 3000000005; V4 20000000002,
